name,url
honolulu-7741.jpg,http://data.ukiyo-e.org/honolulu/images/7741.jpg
Z0167-238.jpg,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0167/Z0167-238.jpg
honolulu-5029.jpg,http://data.ukiyo-e.org/honolulu/images/5029.jpg
arcUP2138.jpg,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP2138.jpg
honolulu-3924.jpg,http://data.ukiyo-e.org/honolulu/images/3924.jpg
NDL-533-00-003.jpg,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000014/w0000533/w0000000/w0000003.jpg
mai01k53.jpg,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/maiduru/nishikie/mai01k53.jpg
NDL-132-03-010.jpg,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000009/w0000132/w0000003/w0000010.jpg
arcUP3279a.jpg,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP3279a.jpg
honolulu-8198.jpg,http://data.ukiyo-e.org/honolulu/images/8198.jpg
NDL-533-00-030.jpg,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000014/w0000533/w0000000/w0000030.jpg
honolulu-3798.jpg,http://data.ukiyo-e.org/honolulu/images/3798.jpg
Z0166-453.jpg,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0166/Z0166-453.jpg
honolulu-2955.jpg,http://data.ukiyo-e.org/honolulu/images/2955.jpg
honolulu-3522.jpg,http://data.ukiyo-e.org/honolulu/images/3522.jpg
Z0172-811.jpg,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0172/Z0172-811.jpg
NDL-461-00-001.jpg,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/kokkai/rarebook.ndl.go.jp/pre/image/gazou/W0000015/w0000461/w0000000/w0000001.jpg
arcUP2878.jpg,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/arc/Prints/arcUP/arcUP2878.jpg
Z0168-636.jpg,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0168/Z0168-636.jpg
Z0173-497.jpg,http://www.arc.ritsumei.ac.jp/archive01/theater/image/PB/zuroku/Z0173/Z0173-497.jpg
